Country,Orders,Revenue
Australia,57,138521.31
Austria,17,10198.68
Bahrain,3,754.14
Belgium,98,41196.34
Brazil,1,1143.6
Canada,6,3666.38
Channel Islands,26,20450.44
Cyprus,16,13590.38
Czech Republic,2,826.74
Denmark,18,18955.34
EIRE,288,283453.96
European Community,4,1300.25
Finland,41,22546.08
France,392,209715.11
Germany,457,228867.14
Greece,5,4760.52
Hong Kong,11,15691.800000000001
Iceland,7,4310.0
Israel,8,8135.26
Italy,38,17483.24
Japan,19,37416.369999999995
Lebanon,1,1693.88
Lithuania,4,1661.06
Malta,5,2725.59
Netherlands,94,285446.34
Norway,36,36165.44
Poland,19,7334.65
Portugal,58,33747.1
RSA,1,1002.3100000000001
Saudi Arabia,1,145.92
Singapore,7,21279.29
Spain,90,61577.11
Sweden,36,38378.33
Switzerland,54,57089.9
USA,5,3580.39
United Arab Emirates,3,1902.28
United Kingdom,18019,9025222.084
Unspecified,13,4749.79
