InvoiceDate,Orders,Revenue
2010-12-01,127,58960.79
2010-12-02,142,47748.38
2010-12-03,68,46943.71
2010-12-05,88,31774.95
2010-12-06,102,54830.46
2010-12-07,84,99618.2
2010-12-08,116,45389.98
2010-12-09,107,53586.18
2010-12-10,77,59182.92
2010-12-12,44,17329.07
2010-12-13,70,38006.71
2010-12-14,90,45254.73
2010-12-15,74,30444.62
2010-12-16,121,49352.9
2010-12-17,66,45418.33
2010-12-19,23,7534.91
2010-12-20,61,26789.13
2010-12-21,55,47304.090000000004
2010-12-22,17,6199.97
2010-12-23,27,12076.11
2011-01-04,36,16026.08
2011-01-05,55,32634.47
2011-01-06,50,40382.85
2011-01-07,53,28836.59
2011-01-09,48,15778.2
2011-01-10,39,24569.07
2011-01-11,58,68655.59
2011-01-12,45,24693.78
2011-01-13,44,20624.64
2011-01-14,47,47576.9
2011-01-16,25,7242.06
2011-01-17,51,29333.02
2011-01-18,41,95978.05
2011-01-19,35,25934.57
2011-01-20,39,21246.99
2011-01-21,39,32640.3
2011-01-23,27,10400.25
2011-01-24,53,25733.79
2011-01-25,67,29077.47
2011-01-26,56,19922.29
2011-01-27,52,23730.84
2011-01-28,40,20090.65
2011-01-30,24,6615.75
2011-01-31,62,23640.36
2011-02-01,63,29034.99
2011-02-02,63,21216.2
2011-02-03,46,23479.83
2011-02-04,52,25162.19
2011-02-06,11,3457.11
2011-02-07,42,25955.01
2011-02-08,45,20949.92
2011-02-09,29,16692.58
2011-02-10,41,14896.460000000001
2011-02-11,45,22873.1
2011-02-13,20,5713.63
2011-02-14,42,26703.51
2011-02-15,58,39875.74
2011-02-16,63,24949.1
2011-02-17,68,26372.670000000002
2011-02-18,39,16208.75
2011-02-20,26,9624.69
2011-02-21,38,36388.75
2011-02-22,52,32498.35
2011-02-23,63,26891.6
2011-02-24,55,22809.84
2011-02-25,49,20595.74
2011-02-27,33,9526.5
2011-02-28,57,21755.63
2011-03-01,62,26354.96
2011-03-02,43,18690.79
2011-03-03,49,36404.0
2011-03-04,49,19506.8
2011-03-06,27,10005.37
2011-03-07,68,32356.55
2011-03-08,48,25081.62
2011-03-09,53,22038.84
2011-03-10,57,26120.22
2011-03-11,53,25475.18
2011-03-13,16,4148.12
2011-03-14,50,26019.55
2011-03-15,52,23493.49
2011-03-16,52,21948.36
2011-03-17,62,39904.94
2011-03-18,64,28171.79
2011-03-20,60,22153.49
2011-03-21,53,16715.52
2011-03-22,53,31515.579999999998
2011-03-23,63,24091.67
2011-03-24,68,36697.14
2011-03-25,56,31394.21
2011-03-27,32,9241.35
2011-03-28,61,23176.72
2011-03-29,62,70711.92
2011-03-30,75,31885.28
2011-03-31,66,34335.9
2011-04-01,75,25667.510000000002
2011-04-03,20,6943.15
2011-04-04,59,33254.24
2011-04-05,52,30144.77
2011-04-06,40,17362.36
2011-04-07,64,18512.89
2011-04-08,71,25295.64
2011-04-10,32,9913.98
2011-04-11,64,22353.27
2011-04-12,62,25570.3
2011-04-13,60,24484.420000000002
2011-04-14,86,36104.07
2011-04-15,56,28334.121
2011-04-17,42,12725.5
2011-04-18,69,56026.18
2011-04-19,59,24338.7
2011-04-20,63,28670.47
2011-04-21,77,32615.63
2011-04-26,71,31047.43
2011-04-27,65,25942.44
2011-04-28,59,22501.55
2011-05-01,18,6973.66
2011-05-03,66,35229.41
2011-05-04,65,27544.15
2011-05-05,89,29174.29
2011-05-06,82,36126.35
2011-05-08,63,18867.4
2011-05-09,71,27899.71
2011-05-10,96,47819.98
2011-05-11,80,33687.25
2011-05-12,86,61903.09
2011-05-13,73,30749.95
2011-05-15,31,9924.28
2011-05-16,68,39651.28
2011-05-17,82,55151.99
2011-05-18,73,34483.44
2011-05-19,99,35599.35
2011-05-20,71,26718.17
2011-05-22,61,24231.09
2011-05-23,68,34685.6
2011-05-24,68,37660.04
2011-05-25,65,24408.12
2011-05-26,64,33497.03
2011-05-27,64,28442.03
2011-05-29,24,7394.3
2011-05-31,54,22714.06
2011-06-01,42,20595.69
2011-06-02,52,32826.14
2011-06-03,44,16913.25
2011-06-05,67,25639.54
2011-06-06,57,17789.07
2011-06-07,78,37957.72
2011-06-08,99,43264.33
2011-06-09,85,46389.1
2011-06-10,50,62234.439999999995
2011-06-12,39,12517.06
2011-06-13,59,22457.21
2011-06-14,57,40474.01
2011-06-15,59,49097.99
2011-06-16,83,34584.68
2011-06-17,52,21076.17
2011-06-19,60,22442.18
2011-06-20,74,37514.98
2011-06-21,55,24784.37
2011-06-22,60,21825.99
2011-06-23,72,25242.82
2011-06-24,51,19521.96
2011-06-26,26,7082.49
2011-06-27,45,17015.76
2011-06-28,55,35607.32
2011-06-29,42,22088.32
2011-06-30,70,44797.31
2011-07-01,49,13675.06
2011-07-03,25,6032.39
2011-07-04,52,44652.83
2011-07-05,73,40758.43
2011-07-06,70,26387.54
2011-07-07,76,32445.71
2011-07-08,65,27082.1
2011-07-10,24,5993.87
2011-07-11,52,22605.02
2011-07-12,53,26262.55
2011-07-13,59,22641.94
2011-07-14,71,33602.13
2011-07-15,42,14836.43
2011-07-17,51,17194.56
2011-07-18,65,38831.61
2011-07-19,67,50182.83
2011-07-20,58,33308.24
2011-07-21,76,32818.54
2011-07-22,43,20124.86
2011-07-24,58,27099.46
2011-07-25,59,26887.15
2011-07-26,53,21644.261
2011-07-27,48,25602.93
2011-07-28,80,56269.74
2011-07-29,64,18790.4
2011-07-31,42,33490.61
2011-08-01,40,21388.92
2011-08-02,44,26580.6
2011-08-03,64,28113.14
2011-08-04,82,65502.21
2011-08-05,55,21538.58
2011-08-07,30,7578.91
2011-08-08,40,23377.65
2011-08-09,42,27679.44
2011-08-10,49,28792.34
2011-08-11,69,72433.79
2011-08-12,51,32231.35
2011-08-14,25,5718.57
2011-08-15,48,17243.97
2011-08-16,53,19239.66
2011-08-17,54,53499.96
2011-08-18,69,54106.93
2011-08-19,56,17349.59
2011-08-21,39,14576.86
2011-08-22,65,29651.46
2011-08-23,64,25993.68
2011-08-24,76,49035.36
2011-08-25,74,23827.46
2011-08-26,47,25626.44
2011-08-28,37,10805.03
2011-08-30,41,31866.31
2011-08-31,47,25380.17
2011-09-01,76,37370.15
2011-09-02,74,42322.02
2011-09-04,50,17119.59
2011-09-05,68,37157.14
2011-09-06,64,28349.91
2011-09-07,52,34413.53
2011-09-08,76,27195.8
2011-09-09,62,30075.62
