CustomerID,Country,Orders,Revenue,Avg_Order_Value,Gold_Tier
12415,Australia,21,124914.53,5948.31,Yes
12431,Australia,13,5514.67,424.21,Yes
12388,Australia,6,2780.66,463.44,Yes
12424,Australia,2,1760.96,880.48,Yes
12393,Australia,4,1582.6000000000001,395.65,Yes
12360,Austria,3,2662.06,887.35,Yes
12865,Austria,2,1568.23,784.12,Yes
12818,Austria,1,1542.08,1542.08,Yes
12358,Austria,2,1168.06,584.03,Yes
12374,Austria,1,742.9300000000001,742.93,Yes
12355,Bahrain,1,459.4,459.4,Yes
0,Bahrain,1,205.74,205.74,Yes
12353,Bahrain,1,89.0,89.0,Yes
12362,Belgium,10,5226.23,522.62,Yes
12449,Belgium,4,4067.29,1016.82,Yes
12417,Belgium,8,3212.8,401.6,Yes
12395,Belgium,12,3018.63,251.55,Yes
12408,Belgium,5,2888.55,577.71,Yes
12769,Brazil,1,1143.6,1143.6,Yes
17444,Canada,3,2940.04,980.01,Yes
17443,Canada,1,534.24,534.24,Yes
15388,Canada,1,140.54,140.54,Yes
17844,Canada,1,51.559999999999995,51.56,Yes
14936,Channel Islands,8,8137.02,1017.13,Yes
14930,Channel Islands,3,2372.86,790.95,Yes
14934,Channel Islands,2,1890.94,945.47,Yes
14935,Channel Islands,1,1784.71,1784.71,Yes
14937,Channel Islands,3,1621.88,540.63,Yes
12359,Cyprus,4,6372.58,1593.14,Yes
12370,Cyprus,3,3268.49,1089.5,Yes
12455,Cyprus,2,1698.9,849.45,Yes
12365,Cyprus,2,641.38,320.69,Yes
12420,Cyprus,1,600.39,600.39,Yes
12781,Czech Republic,2,826.74,413.37,Yes
12435,Denmark,2,7829.89,3914.94,Yes
12406,Denmark,2,3415.3,1707.65,Yes
12429,Denmark,3,3312.42,1104.14,Yes
12372,Denmark,3,1298.04,432.68,Yes
12412,Denmark,3,1226.88,408.96,Yes
14911,EIRE,201,143825.06,715.55,Yes
14156,EIRE,55,117379.63,2134.18,Yes
0,EIRE,28,17908.06,639.57,Yes
14016,EIRE,4,4341.21,1085.3,Yes
15108,European Community,4,1300.25,325.06,Yes
12428,Finland,9,7956.46,884.05,Yes
12664,Finland,9,4881.88,542.43,Yes
12704,Finland,8,2340.84,292.6,Yes
12348,Finland,4,1797.24,449.31,Yes
12405,Finland,1,1710.39,1710.39,Yes
12731,France,12,18895.91,1574.66,Yes
12678,France,12,17628.46,1469.04,Yes
12681,France,22,13787.54,626.71,Yes
12536,France,3,12601.830000000002,4200.61,Yes
12682,France,31,12288.22,396.39,Yes
12471,Germany,30,19824.05,660.8,Yes
12621,Germany,20,13689.67,684.48,Yes
12477,Germany,6,13219.74,2203.29,Yes
12590,Germany,2,9864.26,4932.13,Yes
12709,Germany,15,9736.52,649.1,Yes
14439,Greece,1,2661.24,2661.24,Yes
12717,Greece,2,1030.98,515.49,Yes
12478,Greece,1,680.99,680.99,Yes
17508,Greece,1,387.31,387.31,Yes
0,Hong Kong,11,15691.800000000001,1426.53,Yes
12347,Iceland,7,4310.0,615.71,Yes
12688,Israel,1,4873.8099999999995,4873.81,Yes
12653,Israel,2,2209.85,1104.92,Yes
0,Israel,3,913.57,304.52,Yes
12512,Israel,2,138.03,69.02,Yes
12594,Italy,10,3338.2200000000003,333.82,Yes
12578,Italy,2,2794.51,1397.26,Yes
12584,Italy,9,2338.15,259.79,Yes
12610,Italy,5,2099.54,419.91,Yes
12349,Italy,1,1757.55,1757.55,Yes
12753,Japan,6,21429.39,3571.56,Yes
12798,Japan,3,6977.04,2325.68,Yes
12755,Japan,2,3811.95,1905.98,Yes
12754,Japan,3,3010.74,1003.58,Yes
12770,Japan,1,1351.45,1351.45,Yes
12764,Lebanon,1,1693.88,1693.88,Yes
15332,Lithuania,4,1661.06,415.26,Yes
17828,Malta,4,1820.09,455.02,Yes
15480,Malta,1,905.5,905.5,Yes
14646,Netherlands,73,280206.02,3838.44,Yes
12759,Netherlands,3,1531.44,510.48,Yes
12775,Netherlands,5,1386.04,277.21,Yes
12778,Netherlands,6,822.23,137.04,Yes
12787,Netherlands,3,463.66,154.55,Yes
12433,Norway,7,13375.87,1910.84,Yes
12432,Norway,5,5059.32,1011.86,Yes
12444,Norway,5,5005.46,1001.09,Yes
12752,Norway,1,4366.78,4366.78,Yes
12438,Norway,2,2906.85,1453.42,Yes
12779,Poland,8,3981.36,497.67,Yes
12576,Poland,5,1315.83,263.17,Yes
12815,Poland,2,1063.46,531.73,Yes
12816,Poland,2,572.2,286.1,Yes
12750,Poland,1,275.88,275.88,Yes
12757,Portugal,13,7857.1,604.39,Yes
12766,Portugal,7,6989.63,998.52,Yes
12356,Portugal,3,2811.43,937.14,Yes
12758,Portugal,2,2791.59,1395.8,Yes
12782,Portugal,5,2330.92,466.18,Yes
12446,RSA,1,1002.3100000000001,1002.31,Yes
12565,Saudi Arabia,1,145.92,145.92,Yes
12744,Singapore,7,21279.29,3039.9,Yes
12540,Spain,17,13400.24,788.25,Yes
12557,Spain,5,11990.960000000001,2398.19,Yes
12539,Spain,4,5568.35,1392.09,Yes
12484,Spain,6,4541.72,756.95,Yes
12597,Spain,4,3811.22,952.8,Yes
17404,Sweden,15,31906.82,2127.12,Yes
12483,Sweden,8,2484.98,310.62,Yes
12676,Sweden,6,1331.39,221.9,Yes
12697,Sweden,3,957.59,319.2,Yes
12638,Sweden,1,671.69,671.69,Yes
12409,Switzerland,3,11072.67,3690.89,Yes
12451,Switzerland,5,9035.52,1807.1,Yes
12357,Switzerland,1,6207.67,6207.67,Yes
13505,Switzerland,4,4393.63,1098.41,Yes
12378,Switzerland,1,4008.62,4008.62,Yes
12607,USA,1,1579.51,1579.51,Yes
12646,USA,2,1346.97,673.48,Yes
12733,USA,1,383.95,383.95,Yes
12558,USA,1,269.96,269.96,Yes
12739,United Arab Emirates,2,1013.04,506.52,Yes
17829,United Arab Emirates,1,889.24,889.24,Yes
0,United Kingdom,1373,1716830.53,1250.42,Yes
18102,United Kingdom,60,259657.3,4327.62,Yes
17450,United Kingdom,46,194550.79,4229.36,Yes
16446,United Kingdom,2,168472.5,84236.25,Yes
17511,United Kingdom,31,91062.38,2937.5,Yes
0,Unspecified,5,2082.72,416.54,Yes
16320,Unspecified,2,1038.46,519.23,Yes
12363,Unspecified,2,552.0,276.0,Yes
12743,Unspecified,2,546.43,273.21,Yes
14265,Unspecified,2,530.18,265.09,Yes
